(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0D8448B6H,B09T3PDVWJ,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - CHANDA BLACK 9,WD-JT055-R01B9,13,0,1.27%,0.00%,18,0,1.46%,0.00%,94.74%,0.00%,3,0,23.08%,0.00%,$155.97,$0.00,3,0
B0DZXJD8N1,B0976WBLRQ,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FOREST GREEN 10,WD-JT055-R03FG10,39,0,3.82%,0.00%,49,0,3.97%,0.00%,98.00%,0.00%,2,0,5.13%,0.00%,$119.98,$0.00,2,0
B0D8448B6H,B09T3PBRVR,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - CHANDA BLACK 7.5,WD-JT055-R01B7-5,17,0,1.67%,0.00%,22,0,1.78%,0.00%,100.00%,0.00%,2,0,11.76%,0.00%,$103.98,$0.00,2,0
B0DZXJD8N1,B09T3QLHSH,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FAWN BEIGE 8,WD-JT055-R03FB8,47,0,4.61%,0.00%,57,0,4.62%,0.00%,100.00%,0.00%,2,0,4.26%,0.00%,$119.98,$0.00,2,0
B0DZXJD8N1,B0976VNY8Q,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - AHANA FUCHSIA 8,WD-JT054-R02F8,17,1,1.67%,11.11%,19,1,1.54%,8.33%,100.00%,100.00%,1,0,5.88%,0.00%,$51.99,$0.00,1,0
B0CVL45ZQT,B0976VQ5GQ,JATAREA Slip-On Flat Leather Slides for Women & Two Strap Open Toe Beach Sandals - BOJRA BLACK 7,WD-JT053-R01B7,11,0,1.08%,0.00%,15,0,1.22%,0.00%,100.00%,0.00%,1,0,9.09%,0.00%,$51.99,$0.00,1,0
B0DZXJD8N1,B0976WBXY4,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FOREST GREEN 8.5,WD-JT055-R03FG8-5,86,0,8.43%,0.00%,103,0,8.35%,0.00%,100.00%,0.00%,1,0,1.16%,0.00%,$59.99,$0.00,1,0
B0DZXJD8N1,B0976WFPHY,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FOREST GREEN 6,WD-JT055-R03FG6,158,2,15.49%,22.22%,187,2,15.17%,16.67%,100.00%,0.00%,1,0,0.63%,0.00%,$59.99,$0.00,1,0
B0DZXJD8N1,B0976WKMVF,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FOREST GREEN 7,WD-JT055-R03FG7,189,2,18.53%,22.22%,227,2,18.41%,16.67%,100.00%,0.00%,1,0,0.53%,0.00%,$59.99,$0.00,1,0
B0D8448B6H,B0976WLMVR,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - ESHIKA BLACK 10,WD-JT056-R02B10,8,0,0.78%,0.00%,9,0,0.73%,0.00%,100.00%,0.00%,1,0,12.50%,0.00%,$59.99,$0.00,1,0
B0DZXJD8N1,B0976WMG9J,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FOREST GREEN 8,WD-JT055-R03FG8,128,1,12.55%,11.11%,160,1,12.98%,8.33%,100.00%,0.00%,1,0,0.78%,0.00%,$59.99,$0.00,1,0
B0CVL45ZQT,B0976WNLVT,JATAREA Slip-On Flat Leather Slides for Women & Two Strap Open Toe Beach Sandals - BOJRA BLACK 6,WD-JT053-R01B6,3,0,0.29%,0.00%,4,0,0.32%,0.00%,100.00%,0.00%,1,0,33.33%,0.00%,$51.99,$0.00,1,0
B0D8448B6H,B0976WQK34,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - ESHIKA BLACK 9,WD-JT056-R02B9,7,0,0.69%,0.00%,13,0,1.05%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,$59.99,$0.00,1,0
B0D8448B6H,B0976X7XLT,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - CHANDA BONE WHITE 10,WD-JT055-R01BW10,4,0,0.39%,0.00%,6,0,0.49%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,$51.99,$0.00,1,0
B0D8448B6H,B0976XKXCS,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - CHANDA BONE WHITE 6,WD-JT055-R01BW6,15,0,1.47%,0.00%,16,0,1.30%,0.00%,100.00%,0.00%,1,0,6.67%,0.00%,$51.99,$0.00,1,0
B0D8448B6H,B0976XL1CZ,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - BEENA BLACK 5.5,WD-JT053-R02B5-5,9,0,0.88%,0.00%,9,0,0.73%,0.00%,100.00%,0.00%,1,0,11.11%,0.00%,$51.99,$0.00,1,0
B0DZXJD8N1,B0976XLJWQ,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FOREST GREEN 6.5,WD-JT055-R03FG6-5,36,1,3.53%,11.11%,42,3,3.41%,25.00%,100.00%,0.00%,1,0,2.78%,0.00%,$59.99,$0.00,1,0
