(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0DZXJD8N1,B0976XZ693,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - AHANA AMBER YELLOW 6.5,WD-JT054-R02AY6-5,15,0,1.47%,0.00%,19,0,1.54%,0.00%,100.00%,0.00%,1,0,6.67%,0.00%,$51.99,$0.00,1,0
B0D8448B6H,B09T3NDW5N,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - CHANDA BLACK 10,WD-JT055-R01B10,10,0,0.98%,0.00%,17,0,1.38%,0.00%,100.00%,0.00%,1,0,10.00%,0.00%,$51.99,$0.00,1,0
B0DZXJD8N1,B09T3NFBY3,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FAWN BEIGE 9.5,WD-JT055-R03FB9-5,23,0,2.25%,0.00%,25,0,2.03%,0.00%,100.00%,0.00%,1,0,4.35%,0.00%,$59.99,$0.00,1,0
B0D8448B6H,B09T3NGCXT,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - CHANDA BLACK 8.5,WD-JT055-R01B8-5,45,0,4.41%,0.00%,52,0,4.22%,0.00%,100.00%,0.00%,1,0,2.22%,0.00%,$51.99,$0.00,1,0
B0D8448B6H,B09T3NKHTH,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - BEENA BONE WHITE 6.5,WD-JT053-R02BW6-5,5,0,0.49%,0.00%,6,0,0.49%,0.00%,62.50%,0.00%,1,0,20.00%,0.00%,$51.99,$0.00,1,0
B0CVDDS532,B09T3P2P6K,"JATAREA Women Slip-On Flat Sandals | Softy Leather, Open-Toe Summer Outdoor Sandals - CHONCHOLA BLACK 9",WD-JT055-R04B9,17,0,1.67%,0.00%,21,0,1.70%,0.00%,100.00%,0.00%,1,0,5.88%,0.00%,$51.99,$0.00,1,0
B0CVDDS532,B09T3P45HF,"JATAREA Women Slip-On Flat Sandals | Softy Leather, Open-Toe Summer Outdoor Sandals - CHONCHOLA BLACK 8",WD-JT055-R04B8,13,0,1.27%,0.00%,16,0,1.30%,0.00%,100.00%,0.00%,1,0,7.69%,0.00%,$51.99,$0.00,1,0
B0DZXJD8N1,B09T3P6B62,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FAWN BEIGE 6,WD-JT055-R03FB6,45,1,4.41%,11.11%,49,1,3.97%,8.33%,100.00%,0.00%,1,0,2.22%,0.00%,$59.99,$0.00,1,0
B0DZXJD8N1,B09T3PRG3V,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FAWN BEIGE 6.5,WD-JT055-R03FB6-5,21,1,2.06%,11.11%,29,2,2.35%,16.67%,100.00%,0.00%,1,0,4.76%,0.00%,$59.99,$0.00,1,0
B0DZXJD8N1,B09T3QGZQQ,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FAWN BEIGE 8.5,WD-JT055-R03FB8-5,39,0,3.82%,0.00%,43,0,3.49%,0.00%,100.00%,0.00%,1,0,2.56%,0.00%,$59.99,$0.00,1,0
